Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,HINDLEVER,EQ,2136.6,2300,2307.55,2300,2307.55,2307.55,2307.08,24903,5.74533E+12,,,
04-01-2000,HINDLEVER,EQ,2307.55,2381,2381,2250,2270,2281.05,2298.15,58514,1.34474E+13,,,
05-01-2000,HINDLEVER,EQ,2281.05,2200,2250,2105,2183.5,2199.9,2211.17,80296,1.77548E+13,,,
06-01-2000,HINDLEVER,EQ,2199.9,2224.9,2360,2210,2300,2288.2,2301.8,190032,4.37416E+13,,,
07-01-2000,HINDLEVER,EQ,2288.2,2300,2452,2282.25,2395,2412.95,2380.24,192582,4.58392E+13,,,
10-01-2000,HINDLEVER,EQ,2412.95,2445,2499,2410,2440,2431.25,2464.07,86591,2.13366E+13,,,
11-01-2000,HINDLEVER,EQ,2431.25,2450,2529,2390,2450,2485.8,2460.27,134411,3.30688E+13,,,
12-01-2000,HINDLEVER,EQ,2485.8,2500,2684.7,2490,2684.7,2647.8,2579.17,177057,4.5666E+13,,,
13-01-2000,HINDLEVER,EQ,2647.8,2699,2859.65,2650,2783,2786.65,2804.4,254508,7.13743E+13,,,
14-01-2000,HINDLEVER,EQ,2786.65,2750,2777,2650,2697.05,2702.1,2706.88,120240,3.25475E+13,,,
17-01-2000,HINDLEVER,EQ,2702.1,2748.9,2750,2545.1,2600,2598.25,2609.45,96539,2.51914E+13,,,
18-01-2000,HINDLEVER,EQ,2598.25,2597,2608,2546,2570,2561.45,2569.03,89439,2.29771E+13,,,
19-01-2000,HINDLEVER,EQ,2561.45,2575,2600,2501,2522,2528.95,2544.73,118666,3.01973E+13,,,
20-01-2000,HINDLEVER,EQ,2528.95,2525,2535,2515,2525,2524.4,2527.08,121559,3.07189E+13,,,
21-01-2000,HINDLEVER,EQ,2524.4,2540,2595,2536.6,2550,2548.1,2551.42,75012,1.91387E+13,,,
24-01-2000,HINDLEVER,EQ,2548.1,2550,2649,2541,2575,2578.5,2587.48,71199,1.84226E+13,,,
25-01-2000,HINDLEVER,EQ,2578.5,2597.7,2597.7,2546,2550,2552.05,2558.39,54093,1.38391E+13,,,
27-01-2000,HINDLEVER,EQ,2552.05,2620,2680,2539,2560,2559.65,2571.43,92647,2.38235E+13,,,
28-01-2000,HINDLEVER,EQ,2559.65,2525,2564.8,2490,2496,2523.75,2546.01,46421,1.18188E+13,,,
31-01-2000,HINDLEVER,EQ,2523.75,2445,2494,2401,2433.5,2440,2445.59,69079,1.68939E+13,,,
01-02-2000,HINDLEVER,EQ,2440,2415,2415,2285,2315,2326.7,2328.27,117442,2.73436E+13,,,
02-02-2000,HINDLEVER,EQ,2326.7,2400,2499,2375,2427,2406.95,2422.46,98325,2.38188E+13,,,
03-02-2000,HINDLEVER,EQ,2406.95,2428,2451,2359,2430,2437.9,2431.79,58365,1.41931E+13,,,
04-02-2000,HINDLEVER,EQ,2437.9,2439.8,2439.8,2325,2340,2346.75,2371.86,33380,7.91729E+12,,,
07-02-2000,HINDLEVER,EQ,2346.75,2345,2355,2275,2309,2308.95,2325.87,36764,8.55083E+12,,,
08-02-2000,HINDLEVER,EQ,2308.95,2300,2334.5,2300,2303,2306.95,2317.1,41790,9.68318E+12,,,
09-02-2000,HINDLEVER,EQ,2306.95,2440,2480,2365,2419,2418.1,2405.02,67504,1.62348E+13,,,
10-02-2000,HINDLEVER,EQ,2418.1,2381.25,2445,2320,2320,2331.1,2359.98,87892,2.07423E+13,,,
11-02-2000,HINDLEVER,EQ,2331.1,2395,2449.9,2307,2370,2376.5,2359.1,156867,3.70064E+13,,,
14-02-2000,HINDLEVER,EQ,2376.5,2370,2415,2297,2301,2300.3,2318.04,57803,1.3399E+13,,,
15-02-2000,HINDLEVER,EQ,2300.3,2310,2359.85,2280,2300,2302,2321.31,71513,1.66004E+13,,,
16-02-2000,HINDLEVER,EQ,2302,2400,2410,2300,2314.95,2311.05,2339.27,90729,2.1224E+13,,,
17-02-2000,HINDLEVER,EQ,2311.05,2347,2347,2310,2325,2327.05,2327.82,62080,1.44511E+13,,,
18-02-2000,HINDLEVER,EQ,2327.05,2327.9,2513.25,2315,2513.25,2513,2428.76,238060,5.78191E+13,,,
21-02-2000,HINDLEVER,EQ,2513,2664,2714.05,2601,2714.05,2714.05,2706.6,343736,9.30354E+13,,,
22-02-2000,HINDLEVER,EQ,2714.05,2920,2931.2,2920,2931.2,2931.2,2931.18,115349,3.38109E+13,,,
23-02-2000,HINDLEVER,EQ,2931.2,3165.7,3165.7,2765,2900,2875.9,3028.73,554204,1.67853E+14,,,
24-02-2000,HINDLEVER,EQ,2875.9,2998,3106,2925,3106,3086.75,3027.54,285232,8.63552E+13,,,
25-02-2000,HINDLEVER,EQ,3086.75,3110.1,3234,3050,3130,3141.25,3166.54,224740,7.11649E+13,,,
28-02-2000,HINDLEVER,EQ,3141.25,3130,3145,3000,3050,3055.55,3064.51,152502,4.67343E+13,,,
29-02-2000,HINDLEVER,EQ,3055.55,3100,3100,2814.05,2870,2864.2,2969.05,293524,8.71488E+13,,,
01-03-2000,HINDLEVER,EQ,2864.2,2849,3064,2675.05,2984.25,2990.7,2910.11,261952,7.6231E+13,,,
02-03-2000,HINDLEVER,EQ,2990.7,3040,3053,2780,2788,2817.8,2892.11,163144,4.7183E+13,,,
03-03-2000,HINDLEVER,EQ,2817.8,2735.4,2735.4,2592.4,2600,2593.6,2629.34,192746,5.06795E+13,,,
